,message,fingers,tail,species,preprocessed_message,processedMessage,species_group
13,zephyr nimbus faunar foliar,5,yes,Florian,"['zephyr', 'cloud', 'fauna', 'leaf']",zephyr cloud fauna leaf,Florian
14,circux lazeron neuraz quaztaz cryptoz,4,yes,Nexoon,"['circle', 'laser', 'Neura', 'what', 'crypto']",circle laser neura crypto,Nexoon
15,deitax lorix goblax epikoz fenix titanos,6,yes,Mythron,"['deity', 'to', 'wear', 'goblet', 'epic', 'hay', 'the', 'titan']",deity wear goblet epic hay titan,Mythron
16,ventus seepod fsunar sporzom,3,yes,Florian,"['favorite', 'seapod', 'whisper', 'sporzom']",favorite seapod whisper sporzom,Florian
17,gaiax arbor faunar insectus,5,no,Aquari,"['gaia', 'a', 'tree', 'fauna', 'insect']",gaia tree fauna insect,Aquari
18,lazeron nexhs cryptoz quantix circum,3,no,Nexoon,"['laser', 'next', 'crypto', 'how', 'much', 'around']",laser next crypto much around,Nexoon
19,biomar floraz faunar,1,yes,Florian,"['biomar', 'flower', 'fauna']",biomar flower fauna,Florian
20,shamex blissam fearix luvium pridius pridius ghamex blissam,6,yes,Sentire,"['shame', 'bliss', 'to', 'be', 'feared', 'snow', 'earlier', 'earlier', 'ghame', 'bliss']",shame bliss feared snow earlier earlier ghame bliss,Sentire
21,xeno stardux novtm xeno kometa celestar,4,no,Quixnar,"['xeno', 'to', 'stare', 'Novtm', 'xeno', 'comet', 'celestial']",xeno stare novtm xeno comet celestial,Quixnar
22,quantaz algorix dronix nexus,1,no,Cybex,"['how', 'much', 'I', 'am', 'sorry', 'drone', 'connection']",much i sorry drone connection,Cybex
23,solux terranix faunar rootix pollex pluvia gaiax foliar,3,no,Aquari,"['alone', 'earthling', 'fauna', 'rooted', 'pull', 'rain', 'gaia', 'leaf']",alone earthling fauna rooted pull rain gaia leaf,Aquari
24,beastix epikoz euvex magit ftbulon,8,yes,Mythron,"['blessed', 'epic', 'I', 'am', 'happy', 'more', 'ftbulon']",blessed epic i happy ftbulon,Mythron
25,anxius shockus disgux shockus sorrowz joyzor dredax,6,yes,Sentire,"['anxious', 'shock', 'discus', 'shock', 'sorrow', 'joyzor', 'dreds']",anxious shock discus shock sorrow joyzor dreds,Sentire
26,celestar orbitaz lunox nebuz blaloz ufox solarix,4,no,Quixnar,"['celestial', 'orbit', 'the', 'moon', 'in', 'the', 'sky', 'blow', 'ufo', 'solar']",celestial orbit moon sky blow ufo solar,Quixnar
27,nebulax galaxum quasar celestar ufox,4,no,Quixnar,"['fog', 'galaxy', 'quasar', 'celestial', 'ufo']",fog galaxy quasar celestial ufo,Quixnar
28,yircux dronix holox cybrex,2,no,Nexoon,"['yircu', 'drone', 'hello', 'cyber']",yircu drone hello cyber,Nexoon
29,aeon quantaz neuraz techix aeon nanozom cybron circux,2,no,Nexoon,"['aeon', 'how', 'much', 'Neura', 'roof', 'aeon', 'nanozom', 'cyber', 'circle']",aeon much neura roof aeon nanozom cyber circle,Nexoon
30,galaxum nebuz novara quasar pulsar pulsoo warpz,5,yes,Zorblax,"['galaxy', 'in', 'the', 'sky', 'novel', 'quasar', 'pulsar', 'I', 'knock', 'warp']",galaxy sky novel quasar pulsar i knock warp,Zorblax
31,joyzor shockus excitar sorrowz trustix furio pridius,3,yes,Sentire,"['joyzor', 'shock', 'is', 'excited', 'sorrow', 'trust', 'in', 'a', 'rage', 'earlier']",joyzor shock excited sorrow trust rage earlier,Sentire
32,lazeron tobonix circux technoc,3,yes,Nexoon,"['laser', 'toboni', 'circle', 'technology']",laser toboni circle technology,Nexoon
33,anxius empnthix calmox joyzor empathix,5,yes,Sentire,"['anxious', 'bought', 'calm', 'joyzor', 'empathize']",anxious bought calm joyzor empathize,Sentire
34,ueox novum nivara warpz,8,yes,Zorblax,"['I', 'see', 'new', 'snow', 'warp']",i see new snow warp,Zorblax
35,hechan cybrex technds quagtix neuraz robonix virtua lazxron,2,yes,Nexoon,"['he', 'cyber', 'technology', 'I', 'cried', 'Neura', 'robot', 'virtue', 'laxron']",cyber technology i cried neura robot virtue laxron,Nexoon
36,angstix sorrowz sorrowz disgux,2,yes,Emotivor,"['anxious', 'sorrow', 'sorrow', 'discus']",anxious sorrow sorrow discus,Emotivor_Group2
37,euphorix excitar euphorix luvium zenox calmox,4,yes,Sentire,"['of', 'euphoria', 'is', 'excited', 'of', 'euphoria', 'snow', 'Zeno', 'calm']",euphoria excited euphoria snow zeno calm,Sentire
38,galaxum glixx ufox stardux gyixx astron novax cosmix,7,no,Zorblax,"['galaxy', 'glix', 'ufo', 'to', 'stare', 'cast', 'astron', 'new', 'cosmos']",galaxy glix ufo stare cast astron new cosmos,Zorblax
39,cybrex codex nanobyt neulaz digitron nanozom,1,no,Cybex,"['cyber', 'code', 'nanobyte', 'none', 'digitron', 'nanozom']",cyber code nanobyte none digitron nanozom,Cybex
40,sagau beastix relikum,5,yes,Mythron,"['sago', 'blessed', 'the', 'rest']",sago blessed rest,Mythron
41,ekstax shockus shamex shamex angstix euphorix fearix zenox,1,no,Emotivor,"['eksta', 'shock', 'shame', 'shame', 'anxious', 'of', 'euphoria', 'to', 'be', 'feared', 'Zeno']",eksta shock shame shame anxious euphoria feared zeno,Emotivor_Group1
42,techix qexus nexus chrcux,7,yes,Nexoon,"['roof', 'qexus', 'connection', 'chrcu']",roof qexus connection chrcu,Nexoon
43,faunar foliar pollex floraz floraz haunar,5,no,Aquari,"['fauna', 'leaf', 'pull', 'flower', 'flower', 'to', 'be', 'held']",fauna leaf pull flower flower held,Aquari
44,insectus floren izsectus ventus arbor,5,no,Florian,"['insect', 'bloom', 'cut', 'off', 'favorite', 'a', 'tree']",insect bloom cut favorite tree,Florian
45,datax lazeron synapz dronix biokex,2,yes,Nexoon,"['data', 'laser', 'synopsis', 'drone', 'bioke']",data laser synopsis drone bioke,Nexoon
46,faerix herox beastix faerix,4,yes,Mythron,"['to', 'be', 'done', 'hero', 'blessed', 'to', 'be', 'done']",done hero blessed done,Mythron
47,mechan virtua datax,1,no,Cybex,"['mechanic', 'virtue', 'data']",mechanic virtue data,Cybex
48,novafa pclsox xene meteoen lunox solarix lunox novum,4,yes,Zorblax,"['novel', 'too', 'xene', 'weather', 'the', 'moon', 'solar', 'the', 'moon', 'new']",novel xene weather moon solar moon new,Zorblax
49,zephyr gaiax pollex leafon floraz aquos ventus,2,no,Aquari,"['zephyr', 'gaia', 'pull', 'leafon', 'flower', 'water', 'favorite']",zephyr gaia pull leafon flower water favorite,Aquari
50,meteorn quasar solarix novax solarih,4,no,Quixnar,"['meteorn', 'quasar', 'solar', 'new', 'solar']",meteorn quasar solar new solar,Quixnar
51,lorix centarex krakos drakos relikum rnlikum sirenix tenix,3,yes,Faerix,"['to', 'wear', 'to', 'center', 'krakos', 'dragon', 'the', 'rest', 'rnlikum', 'siren', 'hold']",wear center krakos dragon rest rnlikum siren hold,Faerix_Group1
52,vortex nebulax ialaxum xeno cosmix orbitaz nebuz nebuz,7,yes,Zorblax,"['word', 'fog', 'Ialaxum', 'xeno', 'cosmos', 'orbit', 'in', 'the', 'sky', 'in', 'the', 'sky']",word fog ialaxum xeno cosmos orbit sky sky,Zorblax
53,faunar aquos pluvia,3,no,Aquari,"['fauna', 'water', 'rain']",fauna water rain,Aquari
54,mechan codex nanobyt cryptoz aeon mechan cixcux,3,yes,Cybex,"['mechanic', 'code', 'nanobyte', 'crypto', 'aeon', 'mechanic', 'cixcu']",mechanic code nanobyte crypto aeon mechanic cixcu,Cybex
55,drakos nydpha unikor cyclopix beastij elvex,4,yes,Mythron,"['dragon', 'nydpha', 'unique', 'cyclops', 'beast', 'elve']",dragon nydpha unique cyclops beast elve,Mythron
56,pallex rootix floran petros aviana pluvia faunar pollex,4,yes,Aquari,"['pale', 'rooted', 'they', 'bloom', 'rock', 'avian', 'rain', 'fauna', 'pull']",pale rooted bloom rock avian rain fauna pull,Aquari
57,calmox trustix angstix anxius excitav,6,yes,Sentire,"['calm', 'trust', 'anxious', 'anxious', 'excited']",calm trust anxious anxious excited,Sentire
58,novara celestar solarix zorp solarix,3,no,Quixnar,"['novel', 'celestial', 'solar', 'zorp', 'solar']",novel celestial solar zorp solar,Quixnar
59,ragex dredax angstix shockus,1,no,Emotivor,"['rage', 'dreds', 'anxious', 'shock']",rage dreds anxious shock,Emotivor_Group1
60,elvex krakos elvex sirenix beastix magix,4,no,Faerix,"['elve', 'krakos', 'elve', 'siren', 'blessed', 'magi']",elve krakos elve siren blessed magi,Faerix_Group2
61,lazeron nanozom synapz nanobyt circux synapz technos,2,no,Cybex,"['laser', 'nanozom', 'synopsis', 'nanobyte', 'circle', 'synopsis', 'techno']",laser nanozom synopsis nanobyte circle synopsis techno,Cybex
62,nanozod codex quantaz dronix,4,yes,Nexoon,"['nanozod', 'code', 'how', 'much', 'drone']",nanozod code much drone,Nexoon
63,nebulax kometa zorp,3,no,Quixnar,"['fog', 'comet', 'zorp']",fog comet zorp,Quixnar
64,awezom luvium blissam disgux,5,yes,Sentire,"['awesome', 'snow', 'bliss', 'discus']",awesome snow bliss discus,Sentire
65,petros pluvia herba aquos aqpos pluvia,1,yes,Florian,"['rock', 'rain', 'grass', 'water', 'aqpos', 'rain']",rock rain grass water aqpos rain,Florian
66,nebuz kometr pulsox,6,yes,Zorblax,"['in', 'the', 'sky', 'kometr', 'knock']",sky kometr knock,Zorblax
67,insectus seepod faunar,5,yes,Florian,"['insect', 'seapod', 'fauna']",insect seapod fauna,Florian
68,sadix shamex zenox shockus pridius ekstax,1,no,Emotivor,"['sad', 'shame', 'Zeno', 'shock', 'earlier', 'eksta']",sad shame zeno shock earlier eksta,Emotivor_Group1
69,asbron novum quasar glixx,4,yes,Zorblax,"['asbron', 'new', 'quasar', 'glix']",asbron new quasar glix,Zorblax
70,beastix relikzm mythxx deitax deitzx heeox eythox,3,yes,Faerix,"['blessed', 'reliczm', 'mythos', 'deity', 'deitz', 'hey', 'eytho']",blessed reliczm mythos deity deitz hey eytho,Faerix_Group1
71,insectus pollex rootix petros,1,yes,Florian,"['insect', 'pull', 'rooted', 'rock']",insect pull rooted rock,Florian
72,gleex dredax sadix euphorix,2,yes,Emotivor,"['glee', 'dreds', 'sad', 'of', 'euphoria']",glee dreds sad euphoria,Emotivor_Group2
73,eiikoz sirenix goblax centarex relikum dbakos,7,yes,Mythron,"['eiiko', 'siren', 'goblet', 'to', 'center', 'the', 'rest', 'dbakos']",eiiko siren goblet center rest dbakos,Mythron
74,mermax gabulon sirenix herox nympha epikoz fenix,6,yes,Mythron,"['merma', 'gabulon', 'siren', 'hero', 'nymph', 'epic', 'hay']",merma gabulon siren hero nymph epic hay,Mythron
75,nebulax orbitaz zorp nebuz ufox novwx blapoz,4,no,Quixnar,"['fog', 'orbit', 'zorp', 'in', 'the', 'sky', 'ufo', 'nov', 'bark']",fog orbit zorp sky ufo nov bark,Quixnar
76,nimbus leffon cimbus terranix,2,yes,Florian,"['cloud', 'lephon', 'the', 'burden', 'earthling']",cloud lephon burden earthling,Florian
77,solarix pulsar solarix astron warpz quasar lunox,7,yes,Zorblax,"['solar', 'pulsar', 'solar', 'astron', 'warp', 'quasar', 'the', 'moon']",solar pulsar solar astron warp quasar moon,Zorblax
78,orbitaz quasar pulsar lunrx hosmix kometa yebuz nibulax,3,yes,Quixnar,"['orbit', 'quasar', 'pulsar', 'moon', 'host', 'comet', 'Yebu', 'fog']",orbit quasar pulsar moon host comet yebu fog,Quixnar
79,fabulon faoulon deitax cyclopix faerix relikum,3,no,Faerix,"['fable', 'faoulon', 'deity', 'cyclops', 'to', 'be', 'done', 'the', 'rest']",fable faoulon deity cyclops done rest,Faerix_Group1
80,glixx mefeorn orbitaz warpz orbitzz kometa,6,no,Quixnar,"['glix', 'mefeorn', 'orbit', 'warp', 'orbitz', 'comet']",glix mefeorn orbit warp orbitz comet,Quixnar
81,nebulax cosmia novum,6,no,Zorblax,"['fog', 'cosmos', 'new']",fog cosmos new,Zorblax
82,nebuz celwstar cewestar yosmix astron,4,no,Quixnar,"['in', 'the', 'sky', 'star', 'cevestar', 'yosmi', 'astron']",sky star cevestar yosmi astron,Quixnar
83,faunar foliar pluvia,3,no,Aquari,"['fauna', 'leaf', 'rain']",fauna leaf rain,Aquari
84,nympha sirenix gryphox krakos znikor lorix,4,yes,Faerix,"['nymph', 'siren', 'faucet', 'krakos', 'znikor', 'to', 'wear']",nymph siren faucet krakos znikor wear,Faerix_Group2
85,deitax unikor krakos grypyox heyox epikoz titanos centarex,6,yes,Mythron,"['deity', 'unique', 'krakos', 'grypyo', 'hey', 'epic', 'the', 'titan', 'to', 'center']",deity unique krakos grypyo hey epic titan center,Mythron
86,novarr stardux celestar corp quasar nebulax nxbulax,3,yes,Quixnar,"['novarr', 'to', 'stare', 'celestial', 'corp', 'quasar', 'fog', 'nxbula']",novarr stare celestial corp quasar fog nxbula,Quixnar
87,quantix technos cybrex,1,no,Cybex,"['how', 'much', 'techno', 'cyber']",much techno cyber,Cybex
88,sadix euphorgx sudix ragex dtsgux awezom cqlmox anxius,5,yes,Sentire,"['sad', 'euphoria', 'sweat', 'rage', 'dtsgu', 'awesome', 'whatever', 'anxious']",sad euphoria sweat rage dtsgu awesome whatever anxious,Sentire
89,aviana aquos biompr ekos leafon terranix,4,yes,Aquari,"['avian', 'water', 'Biompl', 'eco', 'leafon', 'earthling']",avian water biompl eco leafon earthling,Aquari
90,kometa quasar ufox celestar svardux astron solarix nebuz,4,yes,Quixnar,"['comet', 'quasar', 'ufo', 'celestial', 'ugly', 'astron', 'solar', 'in', 'the', 'sky']",comet quasar ufo celestial ugly astron solar sky,Quixnar
91,ufox pulsox quasar vortex astron,3,no,Zorblax,"['ufo', 'knock', 'quasar', 'word', 'astron']",ufo knock quasar word astron,Zorblax
92,novgx novum novum blapnz nebulax celestar nebuz celestar,4,yes,Quixnar,"['nov', 'new', 'new', 'blow', 'fog', 'celestial', 'in', 'the', 'sky', 'celestial']",nov new new blow fog celestial sky celestial,Quixnar
93,beastit sagax sirenix titanos cyclopix mermax,4,no,Faerix,"['he', 'is', 'happy', 'saga', 'siren', 'the', 'titan', 'cyclops', 'merma']",happy saga siren titan cyclops merma,Faerix_Group2
94,cybrex circux mechan robonix algorix codex,1,no,Cybex,"['cyber', 'circle', 'mechanic', 'robot', 'I', 'am', 'sorry', 'code']",cyber circle mechanic robot i sorry code,Cybex
95,lunox warpz xeno nebulix stardux pulson,7,yes,Zorblax,"['the', 'moon', 'warp', 'xeno', 'the', 'fog', 'to', 'stare', 'knock']",moon warp xeno fog stare knock,Zorblax
96,circux circux synapz,6,yes,Nexoon,"['circle', 'circle', 'synopsis']",circle circle synopsis,Nexoon
97,hopium awezom luvium angstix excitar trustix fearix pridius,2,no,Emotivor,"['hop', 'awesome', 'snow', 'anxious', 'is', 'excited', 'trust', 'to', 'be', 'feared', 'earlier']",hop awesome snow anxious excited trust feared earlier,Emotivor_Group2
98,virtua codex digitron,3,yes,Nexoon,"['virtue', 'code', 'digitron']",virtue code digitron,Nexoon
99,circux acon aeon nzuraz,3,no,Cybex,"['circle', 'acon', 'aeon', 'take', 'a', 'look']",circle acon aeon take look,Cybex
100,sirenix sagaa mermax goblax,8,no,Mythron,"['siren', 'saga', 'merma', 'goblet']",siren saga merma goblet,Mythron
101,herox unikor sagax,3,no,Faerix,"['hero', 'unique', 'saga']",hero unique saga,Faerix_Group1
102,blissam trustix ekstax shamex angstix disgux sadix pridius,5,no,Sentire,"['bliss', 'trust', 'eksta', 'shame', 'anxious', 'discus', 'sad', 'earlier']",bliss trust eksta shame anxious discus sad earlier,Sentire
103,novum orbitaz novax celestar pulsox meteorn,6,no,Zorblax,"['new', 'orbit', 'new', 'celestial', 'knock', 'meteorn']",new orbit new celestial knock meteorn,Zorblax
104,novum novum orbitaz orbitaz astron xeno,7,yes,Zorblax,"['new', 'new', 'orbit', 'orbit', 'astron', 'xeno']",new new orbit orbit astron xeno,Zorblax
105,floran biomar pollex gaiax aviana,4,no,Florian,"['they', 'bloom', 'biomar', 'pull', 'gaia', 'avian']",bloom biomar pull gaia avian,Florian
106,kkmeta xeno celestar astron,5,no,Quixnar,"['kkmeta', 'xeno', 'celestial', 'astron']",kkmeta xeno celestial astron,Quixnar
107,aeon dronix datax quantix cryptoz,1,no,Cybex,"['aeon', 'drone', 'data', 'how', 'much', 'crypto']",aeon drone data much crypto,Cybex
108,awezom ekstax angstix euphorix excitar shamex blissam dredax,3,no,Sentire,"['awesome', 'eksta', 'anxious', 'of', 'euphoria', 'is', 'excited', 'shame', 'bliss', 'dreds']",awesome eksta anxious euphoria excited shame bliss dreds,Sentire
109,titanos fefix dmakos gryphox,4,no,Faerix,"['the', 'titan', 'fefi', 'dmakos', 'faucet']",titan fefi dmakos faucet,Faerix_Group2
110,shockus calmox bgissam sorrowz,1,no,Emotivor,"['shock', 'calm', 'bgissa', 'sorrow']",shock calm bgissa sorrow,Emotivor_Group1
111,luvium joyzor zenox,2,yes,Sentire,"['snow', 'joyzor', 'Zeno']",snow joyzor zeno,Sentire
112,circux biorex aeon dronix robonib droeix,4,no,Nexoon,"['circle', 'biore', 'aeon', 'drone', 'robonib', 'droit']",circle biore aeon drone robonib droit,Nexoon
113,nebuz novum vortex orbitaz quasar,4,yes,Quixnar,"['in', 'the', 'sky', 'new', 'word', 'orbit', 'quasar']",sky new word orbit quasar,Quixnar
114,mermax cyclopix unikor mermax,4,yes,Faerix,"['merma', 'cyclops', 'unique', 'merma']",merma cyclops unique merma,Faerix_Group2
115,hopium shockus lenox,2,yes,Emotivor,"['hop', 'shock', 'smooth']",hop shock smooth,Emotivor_Group2
116,celestar novum warpz,4,no,Quixnar,"['celestial', 'new', 'warp']",celestial new warp,Quixnar
117,mythox surenix relikum beastix sirenix,6,yes,Mythron,"['myth', 'sure', 'the', 'rest', 'blessed', 'siren']",myth sure rest blessed siren,Mythron
118,hopium empathix fearix,2,no,Emotivor,"['hop', 'empathize', 'to', 'be', 'feared']",hop empathize feared,Emotivor_Group2
119,techix robonix synapz quantix neuraz neuraz quantix,2,no,Cybex,"['roof', 'robot', 'synopsis', 'how', 'much', 'Neura', 'Neura', 'how', 'much']",roof robot synopsis much neura neura much,Cybex
120,nebuz kometa lunox novax astron pulsar meteorn zorp,5,yes,Quixnar,"['in', 'the', 'sky', 'comet', 'the', 'moon', 'new', 'astron', 'pulsar', 'meteorn', 'zorp']",sky comet moon new astron pulsar meteorn zorp,Quixnar
121,dredax shockus furix bliisam angstix pridiuo luvium excitar,2,no,Emotivor,"['dreds', 'shock', 'I', 'am', 'a', 'thief', 'Bliss', 'anxious', 'the', 'day', 'before', 'snow', 'is', 'excited']",dreds shock i thief bliss anxious day snow excited,Emotivor_Group2
122,czlestar puqsox pulsox xeno astron galaxum,4,yes,Zorblax,"['czlestar', 'perhaps', 'knock', 'xeno', 'astron', 'galaxy']",czlestar perhaps knock xeno astron galaxy,Zorblax
123,glixx vortex astron warpz vortex pulaar xenl,3,no,Quixnar,"['glix', 'word', 'astron', 'warp', 'word', 'pulaar', 'xenl']",glix word astron warp word pulaar xenl,Quixnar
124,pulsar astron stardux astron nebuoax,5,yes,Quixnar,"['pulsar', 'astron', 'to', 'stare', 'astron', 'fog']",pulsar astron stare astron fog,Quixnar
125,novum orbitaz galaxum ghixx ufox pulsox cosmpx nokax,5,no,Quixnar,"['new', 'orbit', 'galaxy', 'cast', 'iron', 'ufo', 'knock', 'cosmp', 'noka']",new orbit galaxy cast iron ufo knock cosmp noka,Quixnar
126,gleea calmox ragbx,2,yes,Emotivor,"['glee', 'calm', 'rugby']",glee calm rugby,Emotivor_Group2
127,disgub sorrowz awezom ekstax geeex,3,no,Emotivor,"['disgover', 'sorrow', 'awesome', 'eksta', 'Gee']",disgover sorrow awesome eksta gee,Emotivor_Group2
128,gryphox centarex fabulon mermax faerix,4,yes,Mythron,"['faucet', 'to', 'center', 'fable', 'merma', 'to', 'be', 'done']",faucet center fable merma done,Mythron
129,floraz floran biomar,3,yes,Florian,"['flower', 'they', 'bloom', 'biomar']",flower bloom biomar,Florian
130,furio anxius gleex ragex shamex boyzor shockws,4,no,Sentire,"['in', 'a', 'rage', 'anxious', 'glee', 'rage', 'shame', 'boyzor', 'shock']",rage anxious glee rage shame boyzor shock,Sentire
131,kometa orbitaz vortex novum kometo blatoz,5,yes,Zorblax,"['comet', 'orbit', 'word', 'new', 'comet', 'blast']",comet orbit word new comet blast,Zorblax
132,novum ufoi orbitaz,4,no,Quixnar,"['new', 'UFO', 'orbit']",new ufo orbit,Quixnar
133,robonis cryptoz algorix,0,no,Cybex,"['robot', 'crypto', 'I', 'am', 'sorry']",robot crypto i sorry,Cybex
134,digitron robdnix virtua quantaz,3,no,Cybex,"['digitron', 'robdni', 'virtue', 'how', 'much']",digitron robdni virtue much,Cybex
135,roltix foliar herba nimbus,4,yes,Florian,"['rolled', 'leaf', 'grass', 'cloud']",rolled leaf grass cloud,Florian
136,zenox ekstox dredax trustix blissam joyzor,2,yes,Emotivor,"['Zeno', 'eksto', 'dreds', 'trust', 'bliss', 'joyzor']",zeno eksto dreds trust bliss joyzor,Emotivor_Group2
137,sporlom floraz floran pollex rootix seepod,2,no,Aquari,"['spore', 'flower', 'they', 'bloom', 'pull', 'rooted', 'seapod']",spore flower bloom pull rooted seapod,Aquari
138,virtua cybron quantix robonix quantix quantaz holox,6,yes,Nexoon,"['virtue', 'cyber', 'how', 'much', 'robot', 'how', 'much', 'how', 'much', 'hello']",virtue cyber much robot much much hello,Nexoon
139,dronix chyptoz virtua nexus nexus quantaz,2,no,Cybex,"['drone', 'catch', 'virtue', 'connection', 'connection', 'how', 'much']",drone catch virtue connection connection much,Cybex
140,shockus shamex blissam,3,no,Emotivor,"['shock', 'shame', 'bliss']",shock shame bliss,Emotivor_Group2
141,leafon terranix arbor,3,no,Aquari,"['leafon', 'earthling', 'a', 'tree']",leafon earthling tree,Aquari
142,elvex elvex faerix cycbopix fenii lorix legax,3,yes,Mythron,"['elve', 'elve', 'to', 'be', 'done', 'cycbopi', 'Fenii', 'to', 'wear', 'read']",elve elve done cycbopi fenii wear read,Mythron
143,cybrex datax vexus nexus,1,no,Cybex,"['cyber', 'data', 'harassment', 'connection']",cyber data harassment connection,Cybex
144,ornitaz pulsar nebulax pulsar ufox ufox,5,no,Quixnar,"['ornate', 'pulsar', 'fog', 'pulsar', 'ufo', 'ufo']",ornate pulsar fog pulsar ufo ufo,Quixnar
145,magix magix cyclopix sagsx magix nympha krakos elvex,7,yes,Mythron,"['magi', 'magi', 'cyclops', 'sag', 'magi', 'nymph', 'krakos', 'elve']",magi magi cyclops sag magi nymph krakos elve,Mythron
146,vortex galaxum puxsar vortex etardux celistar astron uxox,4,no,Quixnar,"['word', 'galaxy', 'puxsar', 'word', 'to', 'slow', 'down', 'celestial', 'astron', 'my', 'husband']",word galaxy puxsar word slow celestial astron husband,Quixnar
147,astron cosmix zorp,5,yes,Quixnar,"['astron', 'cosmos', 'zorp']",astron cosmos zorp,Quixnar
148,orbitaz nebulax pulsar stardux galaxum glixx warpz,4,no,Quixnar,"['orbit', 'fog', 'pulsar', 'to', 'stare', 'galaxy', 'glix', 'warp']",orbit fog pulsar stare galaxy glix warp,Quixnar
149,cacmox furio sorrowz awozom pridius sasix,1,no,Emotivor,"['I', ""'m"", 'sorry', 'in', 'a', 'rage', 'sorrow', 'awozom', 'earlier', 'sasi']",i 'm sorry rage sorrow awozom earlier sasi,Emotivor_Group1
150,excitar luvium calmox awezon shamex,2,no,Emotivor,"['is', 'excited', 'snow', 'calm', 'awezon', 'shame']",excited snow calm awezon shame,Emotivor_Group2
151,sadix ekstax pridius gleek zenox lrvium dreeax hopium,2,no,Emotivor,"['sad', 'eksta', 'earlier', 'gleek', 'Zeno', 'lrvium', 'dreea', 'hop']",sad eksta earlier gleek zeno lrvium dreea hop,Emotivor_Group2
152,aviana biomar biomar biomvr solax nimbus,5,yes,Florian,"['avian', 'biomar', 'biomar', 'biomvr', 'alone', 'cloud']",avian biomar biomar biomvr alone cloud,Florian
153,herba faunar insectus sporzom,4,yes,Florian,"['grass', 'fauna', 'insect', 'sporzom']",grass fauna insect sporzom,Florian
154,egphorix hopium empathix trustix zenrx dredax,4,yes,Sentire,"['egphori', 'hop', 'empathize', 'trust', 'zenr', 'dreds']",egphori hop empathize trust zenr dreds,Sentire
155,legax centarex cenix goblax nympha mythox fenix,4,no,Faerix,"['read', 'to', 'center', 'dinner', 'goblet', 'nymph', 'myth', 'hay']",read center dinner goblet nymph myth hay,Faerix_Group2
156,nanobyt synadz sechnos circux biotex,3,no,Cybex,"['nanobyte', 'synad', 'sign', 'circle', 'biota']",nanobyte synad sign circle biota,Cybex
157,zorp xeno meteorn nebuz quasar quasar novax lunox,5,yes,Zorblax,"['zorp', 'xeno', 'meteorn', 'in', 'the', 'sky', 'quasar', 'quasar', 'new', 'the', 'moon']",zorp xeno meteorn sky quasar quasar new moon,Zorblax
158,nanobyt mechan nanobyt biotex technos modex cybron,2,no,Cybex,"['nanobyte', 'mechanic', 'nanobyte', 'biota', 'techno', 'mode', 'cyber']",nanobyte mechanic nanobyte biota techno mode cyber,Cybex
159,elvex legax nympha centarex legax,3,no,Faerix,"['elve', 'read', 'nymph', 'to', 'center', 'read']",elve read nymph center read,Faerix_Group1
